filename,variance_of_laplacian
000646.jpg,23.3644
000647.jpg,163.7122
000648.jpg,152.5522
000649.jpg,151.8932
000650.jpg,137.4794
000651.jpg,153.5651
000652.jpg,139.9170
000653.jpg,143.5328
000654.jpg,161.8967
000655.jpg,145.5447
000656.jpg,144.8578
000657.jpg,160.4249
000658.jpg,153.6280
000659.jpg,161.1852
000660.jpg,161.3969
000661.jpg,157.9252
000662.jpg,159.7165
000663.jpg,168.0762
000664.jpg,168.4755
000665.jpg,180.3341
000666.jpg,181.3594
000667.jpg,182.2710
000668.jpg,182.8584
000669.jpg,182.7587
000670.jpg,183.0558
000671.jpg,183.2681
000672.jpg,183.1495
000673.jpg,183.2905
000674.jpg,183.3704
000675.jpg,183.6832
000676.jpg,183.6019
000677.jpg,183.4298
000678.jpg,183.5756
000679.jpg,183.6115
000680.jpg,80.8342
000681.jpg,79.5719
000682.jpg,79.0952
000683.jpg,79.9156
000684.jpg,79.7924
000685.jpg,78.2963
000686.jpg,79.2754
000687.jpg,77.9695
000688.jpg,78.5190
000689.jpg,78.8904
000690.jpg,78.3387
000691.jpg,78.3385
000692.jpg,78.6060
000693.jpg,78.0730
000694.jpg,78.7236
000695.jpg,73.7019
000696.jpg,70.7910
000697.jpg,69.1581
000698.jpg,67.2761
000699.jpg,57.4669
000700.jpg,55.6610
000701.jpg,57.5804
000702.jpg,60.6523
000703.jpg,65.7534
000704.jpg,77.7240
000705.jpg,78.6426
000706.jpg,79.5646
000707.jpg,81.3268
000708.jpg,82.2340
000709.jpg,82.2299
000710.jpg,82.2902
000711.jpg,82.5143
000712.jpg,82.6745
000713.jpg,83.2318
000714.jpg,83.5022
000715.jpg,85.9117
000716.jpg,93.7804
000717.jpg,93.7731
000718.jpg,98.7632
000719.jpg,98.3020
000720.jpg,98.7722
000721.jpg,99.6963
000722.jpg,93.3769
000723.jpg,99.6300
000724.jpg,92.4201
000725.jpg,84.2123
000726.jpg,77.6139
000727.jpg,80.5847
000728.jpg,77.8608
000729.jpg,78.0164
000730.jpg,66.6215
000731.jpg,56.7958
000732.jpg,59.6920
000733.jpg,59.6921
000734.jpg,61.3478
000735.jpg,62.5864
000736.jpg,65.8446
000737.jpg,69.1601
000738.jpg,66.2794
000739.jpg,66.8290
000740.jpg,72.6913
000741.jpg,79.6469
000742.jpg,83.7852
000743.jpg,94.8002
000744.jpg,96.1944
000745.jpg,102.0759
000746.jpg,108.9385
000747.jpg,110.2859
000748.jpg,110.1549
000749.jpg,112.5603
000750.jpg,113.4428
000751.jpg,115.0846
000752.jpg,117.1790
000753.jpg,116.6201
000754.jpg,116.8359
000755.jpg,115.3355
000756.jpg,117.2390
000757.jpg,117.4048
000758.jpg,116.7990
000759.jpg,116.4259
000760.jpg,116.8643
000761.jpg,116.0165
000762.jpg,116.4688
000763.jpg,116.1119
000764.jpg,115.6802
000765.jpg,115.6909
000766.jpg,116.1692
000767.jpg,115.2067
000768.jpg,116.1432
000769.jpg,116.2125
000770.jpg,118.5467
000771.jpg,101.4737
000772.jpg,111.6413
000773.jpg,98.0325
000774.jpg,108.6051
000775.jpg,94.9881
000776.jpg,105.0816
000777.jpg,102.5523
000778.jpg,92.4981
000779.jpg,101.4329
000780.jpg,90.9741
000781.jpg,99.7516
000782.jpg,99.7035
000783.jpg,88.2474
000784.jpg,98.7788
000785.jpg,89.5226
000786.jpg,96.6072
000787.jpg,87.7453
000788.jpg,89.0251
000789.jpg,95.3203
000790.jpg,87.2208
000791.jpg,89.9765
000792.jpg,95.0861
000793.jpg,86.8216
000794.jpg,86.7181
000795.jpg,91.6663
000796.jpg,86.3175
000797.jpg,85.4044
000798.jpg,89.0861
000799.jpg,87.1742
000800.jpg,37.6967
000801.jpg,36.2116
000802.jpg,36.8272
000803.jpg,35.7014
000804.jpg,35.9888
000805.jpg,36.4162
000806.jpg,36.2695
000807.jpg,35.2873
000808.jpg,36.1242
000809.jpg,35.1888
000810.jpg,35.3199
000811.jpg,99.0591
000812.jpg,98.6734
000813.jpg,98.4331
000814.jpg,99.4918
000815.jpg,98.0801
000816.jpg,98.2605
000817.jpg,99.2190
000818.jpg,98.4832
000819.jpg,99.2755
000820.jpg,98.5360
000821.jpg,99.2021
000822.jpg,98.4580
000823.jpg,98.5948
000824.jpg,99.2460
000825.jpg,98.3425
000826.jpg,99.2928
000827.jpg,98.6356
000828.jpg,99.4056
000829.jpg,98.6286
000830.jpg,99.2796
000831.jpg,99.3403
000832.jpg,98.6178
000833.jpg,98.5974
000834.jpg,99.3061
000835.jpg,98.5486
000836.jpg,98.5762
000837.jpg,99.3348
000838.jpg,98.4673
000839.jpg,98.3856
000840.jpg,99.2768
000841.jpg,98.6288
000842.jpg,98.5588
000843.jpg,99.2589
000844.jpg,98.4999
000845.jpg,98.4573
000846.jpg,99.2774
000847.jpg,98.6807
000848.jpg,98.5367
000849.jpg,99.1061
000850.jpg,98.4294
000851.jpg,98.4978
000852.jpg,99.1910
000853.jpg,98.5510
000854.jpg,98.7410
000855.jpg,98.9005
000856.jpg,98.0062
000857.jpg,98.8078
000858.jpg,98.7110
000859.jpg,52.7182
000860.jpg,52.9536
000861.jpg,53.9422
000862.jpg,55.3372
000863.jpg,56.2868
000864.jpg,54.7493
000865.jpg,54.0581
000866.jpg,55.7932
000867.jpg,54.7826
000868.jpg,55.5984
000869.jpg,57.4075
000870.jpg,58.6514
000871.jpg,62.2951
000872.jpg,63.5403
000873.jpg,61.9109
000874.jpg,61.4144
000875.jpg,62.3603
000876.jpg,18.5049
000877.jpg,18.0743
000878.jpg,19.4715
000879.jpg,19.4602
000880.jpg,9.7155
000881.jpg,9.8809
000882.jpg,9.9903
000883.jpg,10.0740
000884.jpg,10.3828
000885.jpg,10.3191
000886.jpg,10.4089
000887.jpg,17.4224
000888.jpg,17.2112
000889.jpg,16.7902
000890.jpg,17.2792
000891.jpg,17.0816
000892.jpg,16.9835
000893.jpg,17.0712
000894.jpg,17.2673
000895.jpg,16.7203
000896.jpg,16.4123
000897.jpg,16.9151
000898.jpg,16.7389
000899.jpg,13.8837
000900.jpg,14.0319
000901.jpg,13.7986
000902.jpg,13.9179
000903.jpg,14.0492
000904.jpg,14.0312
000905.jpg,13.9726
000906.jpg,17.5600
000907.jpg,17.4289
000908.jpg,17.1080
000909.jpg,17.4699
000910.jpg,17.2477
000911.jpg,17.3064
000912.jpg,17.3256
000913.jpg,17.2591
000914.jpg,7.3018
000915.jpg,7.0143
000916.jpg,6.3779
000917.jpg,5.8948
000918.jpg,6.2926
000919.jpg,5.5394
000920.jpg,6.4681
000921.jpg,5.8785
000922.jpg,6.9978
000923.jpg,7.1796
000924.jpg,7.0682
000925.jpg,6.4484
000926.jpg,7.2795
000927.jpg,7.6521
000928.jpg,7.6557
000929.jpg,6.5310
000930.jpg,7.0062
000931.jpg,7.7153
000932.jpg,6.7566
000933.jpg,7.9282
000934.jpg,6.6948
000935.jpg,7.1911
000936.jpg,7.8605
000937.jpg,7.4031
000938.jpg,7.5828
000939.jpg,7.1229
000940.jpg,7.1681
000941.jpg,7.3826
000942.jpg,7.1568
000943.jpg,15.4585
000944.jpg,14.9806
000945.jpg,15.2147
000946.jpg,15.4500
000947.jpg,17.9348
000948.jpg,19.6577
